index,PDB_code
0,6NZ3
1,8EC9
2,6XSS
3,8I8Y
4,8ECA
5,8SJH
6,5JQZ
7,6NX2
8,7UPQ
9,5CWI
10,6V67
11,8CWA
12,4YY2
13,2ND3
14,2MR5
15,6VL5
16,6MRS
17,6Q5K
18,5WLM
19,4DZN
20,6UD9
21,7UPO
22,5KX2
23,6XXZ
24,7EQ9
25,7UBE
26,6FF6
27,7B4U
28,5WLJ
29,6EIZ
30,8B15
31,7BEY
32,6Q5O
33,5KB1
34,4H7R
35,8BFE
36,4P6L
37,8D05
38,6UF7
39,6VFL
40,7DMF
41,6RLI
42,8FIT
43,7SMJ
44,4WN4
45,6Y06
46,6Q5J
47,6CZH
48,7LIB
49,2ND2
50,6VFI
51,6SS3
52,2XEE
53,8BCT
54,4H8F
55,6Q5H
56,8FBJ
57,5V2G
58,7ZBS
59,2NBL
60,7BAW
61,5CWF
62,5U35
63,8CUU
64,6TJE
65,5HS0
66,8T62
67,7BOA
68,7BQS
69,6MSP
70,5U5A
71,8SJI
72,7T03
73,7S5B
74,7NFO
75,6TJC
76,5CWO
77,6OSD
78,4DZK
79,6TJG
80,7SKO
81,2L82
82,6VL6
83,4DB8
84,8F54
85,6D02
86,5U59
87,6NXM
88,2N75
89,4YXY
90,8FVT
91,6Q5Q
92,5EZ9
93,5CWH
94,6G67
95,6V57
96,6NYE
97,6OVS
98,4P6K
99,8GAQ
100,8DZ8
101,2X6P
102,7BAU
103,6O0I
104,6W3W
105,5BVB
106,8T63
107,6E5J
108,6UF4
109,6NZ1
110,5J73
111,8BL6
112,7BPN
113,5ET3
114,6Z0L
115,5CHB
116,6NYI
117,7QDI
118,2XEN
119,2LND
120,6S9M
121,6YB2
122,4H8L
123,6C52
124,7TMK
125,4QFV
126,5CWJ
127,6TVJ
128,6W90
129,5IZS
130,7NFP
131,5TRV
132,4UOS
133,5J0K
134,5KPH
135,7T2Y
136,6Q25
137,6TJD
138,6OS8
139,7NFM
140,4P6J
141,6UG6
142,2N8D
143,6UFA
144,6UG2
145,7A1T
146,8H7C
147,7CBC
148,4PN9
149,8A19
150,6XEH
151,7BQR
152,6REO
153,5U5B
154,7YH8
155,6S9L
156,6YAZ
157,5J0J
158,8AH9
159,6UGB
160,7LMX
161,7NFL
162,5CWC
163,8CUN
164,5KWZ
165,5KX1
166,8A1A
167,7AX0
168,6OHH
169,6KOS
170,7AWY
171,7Q1S
172,8CUX
173,2WQH
174,7UWY
175,6YB1
176,6V58
177,7RX5
178,8FIH
179,7TJL
180,6MQU
181,6VFJ
182,5KBA
183,7NFG
184,8GJI
185,5CWQ
186,8D06
187,8FBN
188,8ETQ
189,8DT0
190,2MR6
191,6S9N
192,5UXT
193,6QSH
194,2KPO
195,6TJF
196,6MPW
197,8J1W
198,6TJB
199,7UDL
200,5V2O
201,3R47
202,2LV8
203,8FJF
204,7ARR
205,6QSD
206,3VJF
207,6XY0
208,8D09
209,6Y7N
210,8GJG
211,8FBI
212,7BQC
213,6SRZ
214,6MQ2
215,6VFH
216,2LR0
217,5HKN
218,5W0J
219,6OWD
220,7VQW
221,6SRY
222,4H8G
223,6ZV9
224,6OV9
225,8TXS
226,2MTL
227,8GJC
228,8E0L
229,7VQV
230,6G6A
231,7JH6
232,6WVS
233,5TS4
234,6RLH
235,4H8O
236,6TT6
237,5WLL
238,5EHB
239,7KUW
240,7UBH
241,6C4Z
242,7JH5
243,6MCD
244,7TLS
245,6EIK
246,4ESS
247,5CWK
248,5K7V
249,8SJF
250,5K92
251,7TML
252,7UBC
253,7UNI
254,6E5K
255,7MCC
256,7NFJ
257,7VQL
258,8U5A
259,7DNS
