index,PDB_code
0,4R6F
1,5KNG
2,8V2D
3,3PBJ
4,5JG9
5,8UMP
6,5D32
7,8EJA
8,5LE2
9,4W67
10,6FP9
11,6REK
12,6REG
13,6F0Q
14,6I38
15,5D2V
16,5J7D
17,6REJ
18,8V5W
19,7TCD
20,4P4W
21,5AWL
22,5MFN
23,5D38
24,8SW2
25,5MFG
26,8GD6
27,5LW2
28,7TBO
29,3LTB
30,6REN
31,4W5L
32,4W71
33,7QNL
34,4A29
35,8F6Q
36,2LNY
37,4J8Y
38,6DKM
39,8GBI
40,4V3R
41,4Z08
42,2RVD
43,3HE5
44,6N4N
45,5IER
46,6NEK
47,8UF0
48,2LXO
49,4W5P
50,3O4D
51,5DNS
52,4JW3
53,3V1A
54,3TDM
55,5IEN
56,5TX8
57,6C50
58,3V1D
59,4OXW
60,5C39
61,6H7I
62,4DZV
63,2JWU
64,2LZE
65,2L9A
66,4KYZ
67,8UI2
68,5V64
69,2LQ4
70,5WRX
71,3P46
72,5LE9
73,5MFL
74,4DRT
75,6E5C
76,5H7C
77,4P4X
78,3OGF
79,5I1Y
80,6NAF
81,3PG0
82,4D49
83,5LE3
84,8GJ7
85,8F6R
86,5YXI
87,2LHE
88,6C2V
89,8GD8
90,5D2X
91,5OOU
92,3V1F
93,8GK9
94,2N7O
95,4PQ8
96,6DMA
97,4LT9
98,8G9K
99,2MDW
100,8GIV
101,8CHY
102,6G6O
103,8GEL
104,8BU0
105,3LTA
106,4D4E
107,4LPY
108,2N35
109,5MFF
110,5I1Z
111,5LE7
112,4UBZ
113,8Y33
114,3QHT
115,8CQQ
116,4P4V
117,2RU4
118,5D2W
119,8V61
120,4LPW
121,6N9H
122,4NTP
123,3LT9
124,6REH
125,2N4E
126,8TNO
127,8CMQ
128,3M24
129,6MSR
130,2MDV
131,4KYV
132,7F1K
133,2N63
134,5VJS
135,3OL0
136,7TAL
137,5D2Y
138,5LEA
139,8UN1
140,2JWS
141,5DXV
142,4QKS
143,3O4B
144,4R6G
145,5MFD
146,5EOJ
147,5MFI
148,2K6R
149,8GK2
150,5MFO
151,6I3B
152,5MFJ
153,8GB9
154,6FPB
155,5KNH
156,5VJT
157,8CP8
158,4HQD
159,6JCC
160,5LEB
161,8TL7
162,8SY4
163,3V1E
164,5D2T
165,4NW8
166,3O49
167,4YFO
168,4ATZ
169,6EGC
170,2RU5
171,6FPA
172,5W9F
173,2KOZ
174,2N41
175,7F1H
176,5OD9
177,5DN0
178,7TBQ
179,4NW9
180,4R6J
181,4RV1
182,6DS9
183,4V3Q
184,4YDW
185,2LHG
186,8GKB
187,4WBV
188,2MTT
189,3V1C
190,4W5M
191,8CQP
192,4F2V
193,8GBH
194,4LNY
195,4JW2
196,5LEE
197,2N7N
198,2L99
199,5LEC
200,4KY3
201,8SZZ
202,4RZP
203,8GBO
204,2LR2
205,6DM9
206,5DRA
207,5AEI
208,6MSQ
209,8GL0
210,5LE4
211,2MBL
212,3O4C
213,5KKG
214,6SA8
215,3R2X
216,8V5X
217,8GLT
218,5IEP
219,5JHI
220,5VNV
221,5LE8
222,4LPV
223,6F0T
224,2KJN
225,4NEY
226,4OW4
227,4V3O
228,2MLB
229,8E55
230,8V3B
231,8VC8
232,4N6T
233,4LOA
234,5MFK
235,6QB2
236,4P4Y
237,5V65
238,5DQA
239,3HE4
240,6G6N
241,8GL4
242,7F1J
243,4P4Z
244,2LHD
245,4QKR
246,2MI7
247,2L96
248,5XG5
249,6I37
250,4R5D
251,6G6Q
252,4IJB
253,7F1L
254,3LTC
255,4W5Y
256,1UW1
257,6G6P
258,8GBA
259,7F1I
260,8V59
261,8GA6
262,4LPT
263,5LED
264,6DLM
265,8GA7
266,6I39
267,4M6A
268,4UBY
269,4R5C
270,6C2U
271,1D7T
272,4KYB
273,6I3A
274,3TDN
275,4LPU
276,3LTD
277,3TQ2
278,4ETJ
279,2N65
280,5JI4
281,8UKM
282,4PSJ
283,3O4A
284,1E0M
285,4D8H
286,4ZV6
287,5IEO
288,2LHC
289,5ORM
290,4PWW
291,5OOS
292,6FCE
293,8CIG
294,8GBM
295,8GK1
296,4WBU
297,8TNM
298,4J7W
299,8V56
300,3V1B
301,2N76
302,8E12
303,4NEZ
304,6ANM
305,5OP3
306,4NTR
307,5D37
308,4N6U
309,4DZU
310,6SA7
311,8CKR
312,5MFB
313,6BZX
314,6DLC
315,6C9K
316,5A0O
317,5EIL
318,4R58
319,5VJU
320,7TBN
321,8GKX
322,2KP0
323,5MFH
324,3LT8
325,5HPN
326,5IF6
327,5DZB
328,5L2H
329,2MTU
330,8CH0
331,8GL5
332,6F0S
333,5D30
334,8UMR
335,6ANN
336,6EE5
337,4DUI
338,5MFE
339,8FG6
340,2KJO
341,6G6M
342,2MN4
343,4TUT
344,4LPX
345,2N7T
346,5D33
347,5DI5
348,5V63
349,5OD1
350,8G9J
351,5LE6
352,5VBT
353,6SA6
354,3VB8
355,6DMP
356,8V5Z
357,3M22
358,5CW9
