Identifier,StructureData,
Entry ID,PDB ID,
"1BYZ","1BYZ"
"1D7T","1D7T"
"1E0M","1E0M"
"1HQJ","1HQJ"
"1IC9","1IC9"
"1KYC","1KYC"
"1L4X","1L4X"
"1UW1","1UW1"
"2BKG","2BKG"
"2JAB","2JAB"
"2JGO","2JGO"
"2JOF","2JOF"
"2JWS","2JWS"
"2JWU","2JWU"
"2K6R","2K6R"
"2KJN","2KJN"
"2KJO","2KJO"
"2KL8","2KL8"
"2KOZ","2KOZ"
"2KP0","2KP0"
"2KPO","2KPO"
"2L69","2L69"
"2L82","2L82"
"2LCI","2LCI"
"2LHC","2LHC"
"2LHD","2LHD"
"2LHE","2LHE"
"2LHG","2LHG"
"2LN3","2LN3"
"2LND","2LND"
"2LNY","2LNY"
"2LQ4","2LQ4"
"2LR0","2LR0"
"2LR2","2LR2"
"2LRH","2LRH"
"2LSE","2LSE"
"2LTA","2LTA"
"2LV8","2LV8"
"2LVB","2LVB"
"2LZE","2LZE"
"2MBL","2MBL"
"2MBM","2MBM"
"2MDV","2MDV"
"2MDW","2MDW"
"2MI7","2MI7"
"2MLB","2MLB"
"2MN4","2MN4"
"2MQ8","2MQ8"
"2MR5","2MR5"
"2MR6","2MR6"
"2MRA","2MRA"
"2MTL","2MTL"
"2MTT","2MTT"
"2MTU","2MTU"
"2MUZ","2MUZ"
"2N35","2N35"
"2N4N","2N4N"
"2N75","2N75"
"2N76","2N76"
"2N7N","2N7N"
"2N7O","2N7O"
"2N7T","2N7T"
"2N8I","2N8I"
"2N8W","2N8W"
"2NBL","2NBL"
"2ND2","2ND2"
"2ND3","2ND3"
"2RU4","2RU4"
"2RU5","2RU5"
"2RVD","2RVD"
"2WQH","2WQH"
"2X6P","2X6P"
"2XEE","2XEE"
"2XEH","2XEH"
"2XEN","2XEN"
"3HE4","3HE4"
"3HE5","3HE5"
"3LT8","3LT8"
"3LT9","3LT9"
"3LTA","3LTA"
"3LTB","3LTB"
"3LTC","3LTC"
"3LTD","3LTD"
"3M22","3M22"
"3M24","3M24"
"3O49","3O49"
"3O4A","3O4A"
"3O4B","3O4B"
"3O4C","3O4C"
"3O4D","3O4D"
"3OGF","3OGF"
"3OL0","3OL0"
"3P46","3P46"
"3PBJ","3PBJ"
"3PG0","3PG0"
"3QHT","3QHT"
"3R47","3R47"
"3R48","3R48"
"3R4A","3R4A"
"3R4H","3R4H"
"3S0R","3S0R"
"3TDM","3TDM"
"3TDN","3TDN"
"3TQ2","3TQ2"
"3VB8","3VB8"
"3VJF","3VJF"
"4A29","4A29"
