index;PDB ID;Dek's category;Classification;Date;Authors;DOI;Pubmed ID
0;1AL1;original de novo design;SYNTHETIC PROTEIN MODEL         ;02-JUL-90;C.P.HILL,D.H.ANDERSON,L.WESSON,W.F.DEGRADO,D.EISENBERG               ;http://dx.doi.org/10.1126/science.2382133;2382133.0
1;1HCW;original de novo design;GROWTH RESPONSE PROTEIN         ;20-SEP-96;B.IMPERIALI,M.STRUTHERS,R.P.CHENG                                    ;http://dx.doi.org/10.1126/science.271.5247.342;8553067.0
2;1BB1;original de novo design;DE NOVO PROTEIN DESIGN         ;28-APR-98;S.NAUTIYAL,T.ALBER                                                   ;http://dx.doi.org/10.1110/ps.8.1.84;10210186.0
3;1BYZ;relative of another de novo design;DE NOVO PROTEIN             ;20-OCT-98;G.G.PRIVE,D.H.ANDERSON,L.WESSON,D.CASCIO,D.EISENBERG                 ;http://dx.doi.org/10.1110/ps.8.7.1400;10422828.0
4;1COS;original de novo design;ALPHA-HELICAL BUNDLE          ;22-JAN-93;B.LOVEJOY,S.CHOE,D.CASCIO,D.K.MCRORIE,W.DEGRADO,D.EISENBERG          ;http://dx.doi.org/10.1126/science.8446897;8446897.0
5;1DJF;small, non-systematic, and other;DE NOVO PROTEIN             ;03-DEC-99;R.MONTSERRET,M.J.MCLEISH,A.BOCKMANN,C.GEOURJON,F.PENIN               ;http://dx.doi.org/10.1021/bi000208x;10913242.0
6;1EC5;original de novo design;DE NOVO PROTEIN             ;25-JAN-00;S.GEREMIA                                                            ;http://dx.doi.org/10.1073/pnas.97.12.6298;10841536.0
7;1FME;relative of another de novo design;DE NOVO PROTEIN             ;16-AUG-00;C.A.SARISKY,S.L.MAYO                                                 ;http://dx.doi.org/10.1006/jmbi.2000.4345;11292351.0
8;1FMH;original de novo design;TRANSCRIPTION              ;17-AUG-00;D.N.MARTI,I.JELESAROV,H.R.BOSSHARD                                   ;http://dx.doi.org/10.1021/bi001242e;11041845.0
9;1FSD;original de novo design;NOVEL SEQUENCE             ;09-JUN-97;B.I.DAHIYAT,S.L.MAYO                                                 ;http://dx.doi.org/10.1126/science.278.5335.82;9311930.0
10;1FSV;relative of another de novo design;BETA BETA ALPHA MOTIF          ;26-OCT-97;B.I.DAHIYAT,S.L.MAYO                                                 ;http://dx.doi.org/10.1126/science.278.5335.82;9311930.0
11;1G6U;original de novo design;DE NOVO PROTEIN             ;07-NOV-00;N.L.OGIHARA,G.GHIRLANDA,J.W.BRYSON,M.GINGERY,W.F.DEGRADO,D.EISENBERG ;http://dx.doi.org/10.1073/pnas.98.4.1404;11171963.0
12;1HQJ;small, non-systematic, and other;DE NOVO PROTEIN             ;18-DEC-00;P.BURKHARD,M.MEIER,A.LUSTIG                                          ;http://dx.doi.org/10.1110/ps.9.12.2294;11206050.0
